source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,110
0,385
1,12
1,44
1,80
1,86
1,90
1,109
1,115
1,124
1,133
1,231
1,241
1,247
1,263
1,266
1,274
1,292
1,311
1,332
1,371
1,373
1,387
1,394
1,626
1,647
1,710
1,953
1,992
1,1027
1,1028
1,1031
1,1049
1,1093
1,1094
1,1095
1,1096
1,1097
1,1098
1,1099
1,1100
1,1101
1,1102
1,1103
1,1104
1,1105
1,1106
1,1107
1,1108
1,1109
1,1110
1,1111
1,1112
1,1113
1,1114
1,1115
1,1116
1,1117
1,1118
1,1119
1,1120
1,1121
1,1122
1,1123
1,1124
1,1125
1,1126
1,1127
1,1128
1,1129
1,1179
1,3100
1,4503
1,5320
1,7249
1,9639
1,14548
2,2801
3,96
3,143
3,144
3,145
3,146
3,147
3,148
3,149
3,150
3,151
3,152
3,153
3,154
3,155
3,156
3,157
3,158
3,159
3,160
3,161
3,162
3,163
3,164
3,165
3,166
3,167
3,168
3,169
3,170
3,171
3,172
3,173
3,174
3,175
3,176
3,177
3,178
3,179
3,180
3,181
3,182
3,183
3,184
3,185
3,186
3,187
3,188
3,189
3,190
3,191
3,192
3,193
3,194
3,195
3,196
3,197
3,198
3,199
3,200
3,201
3,202
3,203
3,204
3,205
3,206
3,207
3,208
3,209
3,210
3,211
3,212
3,213
3,214
3,215
3,216
3,217
3,218
3,1179
3,3208
3,7014
3,21507
3,33217
3,33411
3,37943
3,44821
3,46486
4,24
4,53
4,65
4,105
4,230
4,236
4,253
4,281
4,311
4,323
4,334
4,342
4,398
4,449
4,450
4,1126
4,1130
4,1131
4,1132
4,1133
4,1134
4,1135
4,1136
4,1137
4,1138
4,1139
4,1140
4,1141
4,1142
4,1143
4,1144
4,1145
4,1146
4,1147
4,1148
4,1149
4,1150
4,1151
4,1152
4,1153
4,1641
4,1671
4,3504
4,5360
4,6380
4,21207
4,47007
5,27
5,39
5,41
5,81
5,97
5,115
5,124
5,136
5,219
5,220
5,221
5,222
5,223
5,224
5,225
5,226
5,227
5,228
5,229
5,230
5,231
5,232
5,233
5,249
5,259
5,278
5,317
5,341
5,373
5,375
5,392
5,497
5,653
5,965
5,1007
5,1067
5,1121
5,1663
5,2164
5,2179
5,3583
5,4411
5,5825
5,6209
5,6435
5,6533
5,8093
5,9782
5,10386
5,30373
6,91
6,251
6,260
6,311
6,449
6,782
6,861
6,1025
6,1026
6,1027
6,1028
6,1029
6,1030
6,1031
6,1032
6,1033
6,1034
6,1035
6,1036
6,1037
6,1038
6,1039
6,1040
6,1041
6,1042
6,1043
6,1044
6,1435
6,2393
6,2660
6,2734
6,5435
6,27531
7,16
7,30
7,105
7,124
7,180
7,195
7,231
7,253
7,255
7,298
7,323
7,394
7,449
7,709
7,925
7,1067
7,1070
7,1137
7,1142
7,1198
7,1221
7,1334
7,1341
7,1747
7,1872
7,1888
7,1983
7,2076
7,2140
7,2141
7,2142
7,2143
7,2144
7,2145
7,2146
7,2147
7,2148
7,2149
7,2150
7,2151
7,2152
7,2153
7,2154
7,2155
7,2156
7,2157
7,2158
7,2159
7,2160
7,2161
7,6586
7,10630
7,15535
7,41901
8,9
8,17
8,96
8,195
8,288
8,311
8,351
8,356
8,365
8,530
8,562
8,574
8,616
8,1041
8,1148
8,1149
8,1346
8,1612
8,1749
8,1909
8,1914
8,2043
8,2044
8,2045
8,2046
8,2047
8,2048
8,2049
8,2050
8,2051
8,2052
8,2053
8,2054
8,2055
8,2056
8,2057
8,2058
8,2059
8,2060
8,2061
8,2062
8,2063
8,2064
8,2065
8,2066
8,2067
8,2068
8,2069
8,2070
8,2071
8,2072
8,2073
8,2074
8,2075
8,2076
8,2077
8,2078
8,2079
8,2080
8,2081
8,2082
8,2083
8,2084
8,2085
8,2086
8,2087
8,2088
8,2089
8,2090
8,2091
8,2092
8,2093
8,2094
8,2095
8,2096
8,2097
8,2098
8,2099
8,2100
8,2101
8,2102
8,2103
8,2104
8,2105
8,2106
8,2107
8,2108
8,2109
8,2110
8,2111
8,2112
8,2113
8,2114
8,2115
8,2116
8,3751
8,4115
8,4528
8,4714
8,4862
8,5202
8,7148
8,7615
8,7731
8,9011
8,15057
8,16094
8,19817
8,25175
8,25373
8,26580
8,28306
8,40897
9,17
9,30
9,48
9,195
9,273
9,281
9,346
9,347
9,348
9,349
9,350
9,351
9,352
9,353
9,354
9,355
9,356
9,357
9,358
9,359
9,360
9,361
9,362
9,363
9,364
9,366
9,367
9,540
9,584
9,600
9,646
9,656
9,675
9,676
9,677
9,678
9,679
9,680
9,681
9,682
9,683
9,684
9,685
9,686
9,687
9,688
9,689
9,690
9,691
9,692
9,693
9,694
9,695
9,696
9,697
9,698
9,699
9,700
9,701
9,702
9,703
9,704
9,705
9,1749
9,2148
9,16039
9,16892
10,311
10,405
10,449
10,547
10,719
10,720
10,721
10,722
10,723
10,724
10,725
10,726
10,727
10,728
10,729
10,730
10,731
10,732
10,733
10,734
10,735
10,736
10,737
10,738
10,739
10,740
10,741
10,742
10,743
10,744
10,745
10,746
10,747
10,748
10,749
10,750
10,751
10,752
10,753
10,754
10,755
10,756
10,757
10,758
10,759
10,760
10,761
10,762
10,763
10,764
10,765
10,766
10,767
10,768
10,769
10,770
10,771
10,772
10,773
10,774
10,775
10,776
10,777
10,778
10,779
10,780
10,781
10,782
10,783
10,784
10,785
10,786
10,787
10,788
10,789
10,790
10,791
10,792
10,793
10,794
10,795
10,796
10,797
10,798
10,799
10,800
10,801
10,802
10,803
10,804
10,805
10,806
10,807
10,808
10,809
10,810
10,811
10,812
10,813
10,814
10,815
10,816
10,817
10,818
10,819
10,820
10,821
10,822
10,823
10,824
10,825
10,826
10,827
10,828
10,829
10,830
10,831
10,832
10,833
10,834
10,835
10,836
10,837
10,838
10,839
10,840
10,841
10,842
10,843
10,844
10,845
10,846
10,847
10,848
10,849
10,850
10,851
10,852
10,853
10,854
10,855
10,856
10,857
10,858
10,859
10,860
10,861
10,862
10,863
10,864
10,865
10,866
10,867
10,868
10,869
10,870
10,871
10,872
10,873
10,874
10,875
10,876
10,877
10,878
10,879
10,880
10,881
10,882
10,883
10,884
10,885
10,886
10,887
10,888
10,889
10,890
10,891
10,892
10,893
10,894
10,895
10,896
10,897
10,898
10,899
10,900
10,901
10,902
10,903
10,904
10,905
10,906
10,907
10,908
10,909
10,910
10,911
10,912
10,913
10,914
10,915
10,916
10,917
10,918
10,919
10,920
10,921
10,922
10,923
10,924
10,925
10,926
10,927
10,928
10,929
10,930
10,931
10,932
10,933
10,934
10,935
10,936
10,937
10,938
10,939
10,940
10,941
10,942
10,943
10,944
10,945
10,946
10,947
10,948
10,949
10,950
10,951
10,952
10,953
10,954
10,955
10,956
10,957
10,958
10,959
10,960
10,961
10,1391
10,1394
10,1430
10,2432
10,13040
10,17075
10,17078
10,17268
10,17283
10,17435
10,17748
10,17765
10,17861
10,17872
10,33181
11,14
11,21
11,43
11,49
11,111
11,115
