id,community
0,0
1,1
2,0
3,0
4,2
5,3
6,4
7,3
8,5
9,6
10,7
11,8
12,9
13,10
14,11
15,12
16,13
17,6
18,3
19,14
20,15
21,16
22,17
23,18
24,19
25,20
26,21
27,22
28,23
29,13
30,3
31,3
32,3
33,24
34,25
35,26
36,13
37,27
38,28
39,29
40,30
41,31
42,3
43,3
44,13
45,32
46,33
47,28
48,3
49,13
50,13
51,34
52,35
53,22
54,11
55,3
56,3
57,36
58,13
59,37
60,38
61,39
62,40
63,25
64,41
65,13
66,42
67,43
68,10
69,44
70,45
71,46
72,2
73,47
74,25
75,48
76,49
77,50
78,31
79,51
80,3
81,33
82,3
83,13
84,33
85,21
86,9
87,17
88,13
89,52
90,3
91,31
92,3
93,33
94,33
95,53
96,41
97,33
98,54
99,55
100,49
101,13
102,45
103,56
104,50
105,57
106,58
107,59
108,60
109,61
110,33
111,44
112,62
113,63
114,64
115,49
116,65
117,66
118,67
119,68
120,13
121,60
122,21
123,13
124,9
125,13
126,53
127,33
128,49
129,28
130,69
131,67
132,17
133,2
134,33
135,70
136,22
137,9
138,71
139,53
140,10
141,23
142,23
143,72
144,73
145,72
146,0
147,73
148,72
149,74
150,75
151,0
152,72
153,0
154,72
155,76
156,72
157,72
158,72
159,77
160,0
161,78
162,79
163,72
164,80
165,81
166,82
167,83
168,72
169,82
170,72
171,84
172,85
173,82
174,72
175,86
176,72
177,72
178,87
179,88
180,41
181,80
182,72
183,87
184,80
185,89
186,80
187,72
188,0
189,72
190,72
191,80
192,83
193,80
194,0
195,90
196,91
197,92
198,72
199,72
200,93
201,72
202,88
203,88
204,80
205,88
206,94
207,95
208,0
209,72
210,41
211,88
212,0
213,72
214,0
215,72
216,13
217,0
218,0
219,96
220,2
221,97
222,3
223,36
224,98
225,99
226,3
227,44
228,2
229,100
230,41
231,57
232,3
233,50
234,33
235,101
236,102
237,103
238,104
239,105
240,33
241,33
242,106
243,33
244,107
245,9
246,53
247,49
248,70
249,49
250,108
251,23
252,109
253,43
254,3
255,33
256,13
257,49
258,110
259,111
260,112
261,3
262,13
263,113
264,114
265,31
266,36
267,47
268,13
269,3
270,44
271,21
272,115
273,22
274,33
275,36
276,116
277,13
278,58
279,45
280,117
281,33
282,117
283,57
284,118
285,60
286,13
287,119
288,120
289,57
290,3
291,3
292,121
293,122
294,123
295,124
296,36
297,3
298,53
299,41
300,9
301,125
302,21
303,126
304,9
305,13
306,127
307,128
308,15
309,15
310,45
311,13
312,129
313,78
314,13
315,130
316,22
317,13
318,131
319,13
320,13
321,23
322,97
323,3
324,17
325,132
326,133
327,134
328,57
329,13
330,13
331,35
332,13
333,9
334,135
335,17
336,17
337,45
338,13
339,17
340,50
341,99
342,3
343,17
344,132
345,58
346,41
347,136
348,137
349,138
350,139
351,140
352,141
353,142
354,143
355,144
356,145
357,13
358,9
359,13
360,3
361,140
362,6
363,146
364,147
365,148
366,41
367,149
368,140
369,53
370,150
371,21
372,151
373,70
374,152
375,41
376,153
377,16
378,16
379,13
380,9
381,13
382,154
383,16
384,155
385,3
386,9
387,156
388,157
389,13
390,41
391,158
392,115
393,159
394,60
395,13
396,3
397,160
398,161
399,162
400,163
401,164
402,13
403,13
404,165
405,41
406,60
407,57
408,166
409,167
410,25
411,168
412,169
413,13
414,170
415,3
416,21
417,24
418,171
419,172
420,173
421,174
422,175
423,176
424,176
425,11
426,177
427,178
428,171
429,49
430,176
431,41
432,44
433,179
434,180
435,181
436,55
437,182
438,183
439,184
440,185
441,41
442,78
443,3
444,186
445,176
446,41
447,170
448,187
449,188
450,3
451,176
452,170
453,189
454,41
455,176
456,49
457,190
458,191
459,192
460,193
461,194
462,3
463,33
464,195
465,171
466,53
467,169
468,173
469,196
470,159
471,112
472,76
473,197
474,176
475,198
476,58
477,9
478,36
479,147
480,106
481,13
482,13
483,13
484,199
485,13
486,176
487,176
488,200
489,201
490,202
491,169
492,179
493,176
494,174
495,169
496,49
497,13
498,202
499,13
500,110
501,203
502,176
503,199
504,179
505,204
506,176
507,22
508,169
509,3
510,205
511,9
512,3
513,14
514,206
515,207
516,3
517,208
518,86
519,209
520,210
521,57
522,211
523,212
524,213
525,214
526,215
527,216
528,217
529,218
530,219
531,220
532,221
533,168
534,222
535,3
536,223
537,224
538,225
539,217
540,226
541,227
542,228
543,78
544,143
545,229
546,230
547,41
548,41
549,231
550,232
551,233
552,218
553,229
554,13
555,214
556,234
557,168
558,78
559,235
560,236
561,237
562,227
563,143
564,236
565,238
566,239
567,240
568,241
569,242
570,168
571,243
572,244
573,245
574,246
575,247
576,218
577,78
578,227
579,78
580,228
581,248
582,249
583,229
584,250
585,220
586,251
587,211
588,252
589,253
590,3
591,2
592,45
593,41
594,254
595,3
596,36
597,53
598,255
599,13
600,41
601,3
602,13
603,100
604,41
605,70
606,45
607,159
608,256
609,47
610,53
611,168
612,257
613,13
614,184
615,13
616,149
617,258
618,13
619,13
620,56
621,259
622,9
623,33
624,110
625,227
626,168
627,260
628,261
629,262
630,60
631,263
632,21
633,59
634,131
635,73
636,50
637,13
638,13
639,13
640,264
641,60
642,265
643,21
644,117
645,266
646,33
647,22
648,117
649,49
650,53
651,41
652,47
653,45
654,59
655,33
656,267
657,44
658,13
659,268
660,3
661,269
662,13
663,36
664,49
665,111
666,270
667,45
668,44
669,13
670,13
671,68
672,13
673,29
674,29
675,41
676,140
677,34
678,271
679,144
680,272
681,13
682,41
683,273
684,146
685,143
686,274
687,146
688,13
689,275
690,41
691,73
692,276
693,247
694,266
695,277
696,278
697,279
698,280
699,281
700,282
701,34
702,34
703,283
704,284
705,41
706,55
707,28
708,285
709,286
710,60
711,65
712,13
713,2
714,22
715,184
716,31
717,13
718,287
719,288
720,289
721,290
722,288
723,168
724,291
725,7
726,7
727,292
728,7
729,7
730,290
731,289
732,291
733,291
734,7
735,7
736,7
737,7
738,288
739,288
740,293
741,7
742,293
743,7
744,7
745,7
746,293
747,294
748,7
749,7
750,289
751,7
752,295
753,7
754,7
755,293
756,296
757,289
758,7
759,7
760,7
761,7
762,7
763,290
764,7
765,26
766,7
767,289
768,290
769,41
770,26
771,290
772,7
773,289
774,7
775,291
776,7
777,289
778,7
779,7
780,7
781,297
782,3
783,22
784,298
785,293
786,291
787,7
788,7
789,7
790,7
791,299
792,289
793,7
794,289
795,288
796,292
797,300
798,301
799,7
800,302
801,293
802,7
803,7
804,290
805,288
806,289
807,7
808,41
809,7
810,290
811,3
812,303
813,7
814,7
815,293
816,304
817,293
818,293
819,7
820,7
821,7
822,7
823,7
824,305
825,297
826,306
827,7
828,298
829,7
830,41
831,7
832,7
833,301
834,168
835,307
836,13
837,289
838,7
839,293
840,308
841,7
842,309
843,7
844,310
845,294
846,301
847,293
848,291
849,311
850,7
851,7
852,293
853,7
854,312
855,313
856,7
857,314
858,315
859,294
860,291
861,7
862,7
863,316
864,293
865,7
866,146
867,7
868,7
869,317
870,7
871,293
872,293
873,291
874,7
875,7
876,7
877,318
878,306
879,7
880,290
881,7
882,298
883,293
884,319
885,298
886,7
887,206
888,320
889,7
890,321
891,7
892,322
893,290
894,143
895,291
896,317
897,7
898,7
899,293
900,293
901,7
902,41
903,7
904,41
905,7
906,41
907,13
908,26
909,7
910,7
911,7
912,7
913,206
914,7
915,291
916,292
917,293
918,293
919,26
920,288
921,316
922,323
923,293
924,33
925,294
926,7
927,289
928,7
929,324
930,7
931,291
932,7
933,7
934,293
935,293
936,290
937,7
938,325
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,288
947,316
948,290
949,294
950,7
951,7
952,7
953,293
954,289
955,7
956,309
957,7
958,292
959,7
960,7
961,289
962,326
963,327
964,328
965,3
966,49
967,13
968,10
969,329
970,59
971,10
972,41
973,57
974,13
975,70
976,70
977,18
978,41
979,59
980,55
981,33
982,330
983,331
984,33
985,135
986,13
987,332
988,58
989,333
990,3
991,9
992,334
993,99
994,169
995,13
996,36
997,335
998,336
999,169
1000,337
1001,13
1002,338
1003,13
1004,100
1005,339
1006,3
1007,3
1008,340
1009,341
1010,342
1011,343
1012,49
1013,128
1014,149
1015,344
1016,196
1017,345
1018,346
1019,347
1020,343
1021,3
1022,348
1023,349
1024,36
1025,350
1026,351
1027,3
1028,352
1029,353
1030,354
1031,169
1032,355
1033,356
1034,229
1035,357
1036,358
1037,359
1038,360
1039,361
1040,146
1041,7
1042,117
1043,4
1044,362
1045,59
1046,363
1047,286
1048,13
1049,36
1050,3
1051,33
1052,13
1053,13
1054,3
1055,364
1056,99
1057,45
1058,135
1059,365
1060,9
