source,target
0,1
2,3
2,4
5,6
5,7
8,9
10,11
12,13
12,14
15,16
17,18
12,19
20,21
20,22
23,24
23,25
23,26
23,27
23,28
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,38
23,39
23,40
41,42
43,44
45,46
47,48
49,50
41,51
52,53
54,55
54,56
54,57
54,58
54,59
60,61
62,63
64,65
62,4
66,67
68,69
70,71
72,21
73,74
75,76
75,48
77,78
77,79
80,81
80,68
19,62
82,83
22,21
82,84
41,85
41,86
41,87
82,86
88,89
90,91
92,20
41,93
41,94
41,95
89,96
97,98
97,99
97,100
97,101
97,102
103,104
82,105
90,106
62,107
108,109
108,66
108,110
108,111
108,112
113,114
115,116
117,118
76,119
17,120
82,121
122,123
124,125
13,126
127,128
127,129
127,130
131,132
40,26
40,29
18,133
56,55
56,59
134,6
115,62
135,136
137,138
139,140
141,142
143,51
143,133
144,145
146,147
148,149
150,103
49,84
151,28
152,153
154,155
156,157
139,15
158,159
4,3
160,161
84,162
84,50
84,71
72,163
164,139
165,166
167,168
169,115
169,170
40,171
123,103
123,172
123,61
24,96
173,21
174,175
176,177
176,178
122,179
180,130
181,182
129,183
181,179
184,52
70,185
106,186
137,175
137,174
187,188
108,189
190,157
191,192
191,193
191,194
191,2
41,195
41,196
41,197
41,198
41,199
41,167
41,200
41,201
41,202
41,203
41,204
41,205
41,206
207,208
41,128
209,54
115,210
106,188
137,211
56,58
30,25
30,36
30,41
155,212
213,180
155,214
215,15
71,216
71,50
71,49
74,1
74,217
74,218
74,214
74,219
74,220
74,221
74,222
74,18
74,223
74,224
74,225
74,226
74,17
74,227
228,64
229,21
229,20
230,231
232,207
232,233
232,234
232,235
232,159
232,236
232,208
232,237
232,238
232,239
232,240
232,241
232,242
232,243
244,115
245,246
247,74
13,237
106,62
106,248
13,27
13,207
103,249
40,250
175,251
169,250
75,252
75,40
253,137
248,210
248,254
248,255
183,256
17,217
183,197
183,257
258,72
258,259
75,260
115,170
261,262
261,263
261,264
106,265
266,45
129,267
268,269
81,255
46,139
46,15
46,270
46,269
46,271
46,164
46,215
272,273
155,114
158,62
129,274
275,107
155,211
230,276
277,278
155,279
160,28
160,23
280,281
280,209
69,282
162,283
162,71
276,284
276,267
276,195
276,168
276,167
276,285
276,202
276,14
276,286
276,279
276,129
276,130
276,287
288,19
253,225
129,289
290,291
165,115
282,80
74,292
293,294
295,137
147,62
147,248
62,296
297,247
298,299
300,299
251,232
251,166
251,121
251,145
251,115
136,115
92,22
251,210
251,283
251,58
251,301
251,48
12,288
302,62
295,2
235,207
235,237
235,234
235,242
235,243
175,15
17,303
17,304
17,1
17,177
17,305
17,214
17,247
17,219
17,306
17,85
17,307
17,220
17,308
17,221
17,309
17,222
17,0
17,223
17,310
17,224
17,311
17,225
17,73
17,312
17,313
17,227
244,314
35,62
235,315
167,200
167,133
167,18
316,317
253,62
318,45
219,177
214,290
102,319
102,296
147,210
147,42
147,105
11,320
21,321
21,10
21,302
21,322
21,323
324,325
214,5
18,62
73,326
73,247
73,327
73,292
141,328
69,302
329,114
330,331
332,333
332,116
332,165
332,115
332,136
332,334
332,169
332,250
332,135
332,335
336,134
58,57
337,74
337,305
337,214
337,307
337,221
337,312
190,338
190,339
190,149
190,340
190,341
190,342
190,343
190,344
190,213
190,345
190,346
190,347
190,348
190,279
190,349
190,230
190,274
190,130
190,178
190,122
190,179
190,350
190,206
351,352
351,184
90,13
283,232
142,353
354,355
47,335
193,194
63,137
43,356
357,358
86,128
64,5
160,186
114,359
231,103
160,189
69,210
114,129
242,268
360,189
44,361
44,288
306,62
251,105
88,299
153,62
362,278
362,161
362,276
362,255
362,209
362,363
362,106
362,235
362,364
362,248
114,365
114,314
145,87
39,28
153,366
165,28
165,114
165,169
165,367
186,325
219,222
52,368
251,300
251,96
251,89
251,88
251,298
251,369
116,169
361,288
360,293
40,370
170,136
351,371
86,204
372,373
160,113
180,341
55,58
160,365
374,44
58,211
62,336
14,285
80,375
376,377
94,200
58,162
290,378
290,379
290,103
290,380
290,381
290,382
290,376
290,181
290,383
290,384
290,278
290,157
290,385
290,386
290,387
290,388
290,389
290,390
290,61
290,391
290,392
290,393
290,394
290,249
290,395
290,396
290,397
290,398
290,377
290,368
290,104
290,317
290,60
290,150
290,316
40,35
37,30
133,303
133,399
133,400
133,401
133,231
133,286
133,279
133,205
133,402
133,52
133,179
133,403
68,21
404,166
405,106
113,47
43,406
43,407
103,378
103,377
103,317
157,395
4,63
4,281
183,277
212,61
212,316
61,380
2,194
114,255
114,364
2,301
281,174
183,299
164,215
301,63
408,325
353,255
353,364
132,409
114,336
410,4
410,2
63,3
57,137
172,411
377,61
63,174
412,413
257,325
264,19
323,414
323,173
48,50
365,415
50,87
416,62
416,360
416,294
9,19
213,343
213,349
417,285
29,418
9,419
87,420
87,154
253,185
248,105
421,415
16,422
13,297
38,25
38,26
38,40
423,424
115,425
86,188
230,172
426,427
360,294
428,248
277,210
277,121
277,83
277,422
71,429
71,430
71,431
71,83
13,36
432,214
132,280
179,157
115,334
433,147
422,15
422,45
115,333
115,434
115,123
115,435
115,436
115,250
115,437
115,135
115,335
438,411
438,272
438,178
394,104
439,358
20,86
415,440
23,115
415,441
415,442
210,145
436,35
432,23
139,129
139,443
415,113
415,114
140,444
